"enzyme","s_uM","replicate","v_uM_per_s","v_uM_per_min"
5555,7.8125,3,0.00516329246806741,0.309797548084044
5555,7.8125,4,0.00509509588614162,0.305705753168497
5555,15.625,1,0.00885227786551023,0.531136671930614
5555,15.625,2,0.00903071348722705,0.541842809233623
5555,15.625,3,0.00823830949539418,0.494298569723651
5555,15.625,4,0.00862645275486134,0.51758716529168
5555,31.25,1,0.0143988221123193,0.86392932673916
5555,31.25,2,0.0147397422814821,0.884384536888926
5555,31.25,3,0.015406346241282,0.924380774476918
5555,31.25,4,0.0160043635371272,0.96026181222763
5555,62.5,1,0.0203545894962249,1.22127536977349
5555,62.5,2,0.020968405106945,1.2581043064167
5555,62.5,3,0.0221753901783266,1.33052341069959
5555,62.5,4,0.0207059991390447,1.24235994834268
5555,125,1,0.0259904920379797,1.55942952227878
5555,125,2,0.0285247569666204,1.71148541799722
5555,125,3,0.0291282822364674,1.74769693418805
5555,125,4,0.027937242783664,1.67623456701984
5555,250,1,0.0317520964092987,1.90512578455792
5555,250,2,0.0308336277843363,1.85001766706018
5555,250,3,0.0320774064849851,1.9246443890991
5555,250,4,0.0318781937765845,1.91269162659507
5555,500,1,0.042304694677481,2.53828168064886
5555,500,2,0.0370207118858145,2.22124271314887
5555,500,3,0.0384267023492736,2.30560214095642
5555,500,4,0.0395131716792229,2.37079030075337
6666,7.8125,1,0.00771867819203268,0.463120691521961
6666,7.8125,2,0.00744591095925402,0.446754657555241
6666,7.8125,3,0.00719929785053591,0.431957871032154
6666,7.8125,4,0.00713632281874462,0.428179369124677
6666,15.625,1,0.0136953290486299,0.821719742917791
6666,15.625,2,0.0147133835689449,0.882803014136692
6666,15.625,3,0.0144613252266911,0.867679513601466
6666,15.625,4,0.015133423521261,0.908005411275662
6666,31.25,1,0.0255383698992624,1.53230219395574
6666,31.25,2,0.0232452292002624,1.39471375201575
6666,31.25,3,0.0266670890033999,1.60002534020399
6666,31.25,4,0.0263205926640764,1.57923555984458
6666,62.5,1,0.0410655346729221,2.46393208037533
6666,62.5,2,0.0386831666156016,2.32098999693609
6666,62.5,3,0.0424300828047143,2.54580496828286
6666,62.5,4,0.042110351627035,2.5266210976221
6666,125,1,0.055260004362097,3.31560026172582
6666,125,2,0.0617507430860513,3.70504458516308
6666,125,3,0.063025965657054,3.78155793942324
6666,125,4,0.064863181147307,3.89179086883842
6666,250,1,0.0730333704404733,4.3820022264284
6666,250,2,0.0738832114837857,4.43299268902714
6666,250,3,0.0722412228661979,4.33447337197187
6666,250,4,0.0737470992881088,4.42482595728653
6666,500,1,0.0960954907660019,5.76572944596012
6666,500,2,0.0880133722243014,5.28080233345809
6666,500,3,0.0901758732396236,5.41055239437742
6666,500,4,0.0921171078277671,5.52702646966602
